Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40,38,0,573,60,6,60,40,40,79,20,40,80,50,5329,15717,7,10,12,60,4,3,17,3,60,13,11,1,9
40,34,50,1153,60,1,40,20,60,94,60,40,40,100,4325,17736,1,0,15,60,3,0,5,2,60,5,2,1,3
40,56,50,1400,60,7,60,80,60,49,20,60,80,0,7260,21698,4,0,11,60,1,0,37,3,40,6,4,0,2
40,23,50,541,30,2,20,60,60,62,60,20,20,50,2322,9518,3,0,13,60,3,1,3,3,60,0,0,0,0
40,51,50,432,60,9,80,80,60,96,60,20,80,100,2075,18725,3,0,23,80,2,2,10,4,60,4,2,0,3
40,30,50,288,60,2,60,60,60,99,40,40,80,100,4152,15830,1,0,19,60,1,3,11,3,60,11,10,10,8
60,46,50,669,30,9,40,60,60,64,40,60,80,0,9619,13596,1,0,16,60,4,0,9,3,60,9,8,4,7
40,40,100,530,60,1,80,60,60,78,40,80,40,100,13503,14115,1,0,22,80,4,1,22,3,40,22,3,11,11
40,51,50,632,30,21,80,60,60,71,60,40,80,0,5441,8423,0,10,22,80,4,0,11,2,20,10,7,1,0
40,30,50,1334,30,4,40,60,40,63,40,40,40,50,5209,19760,1,10,12,60,2,3,11,4,40,11,8,2,7
40,46,100,638,60,1,60,60,60,40,40,60,20,100,10673,3142,2,10,13,60,3,1,21,5,40,10,9,9,5
40,32,50,1093,30,6,80,40,60,87,60,40,60,0,5010,24301,1,0,16,60,1,0,12,0,60,11,8,5,7
40,54,50,1217,60,2,80,20,40,60,60,60,60,100,13549,24001,9,0,12,60,1,1,16,5,20,4,3,0,3
40,24,50,1353,30,3,40,20,40,33,60,40,60,100,4999,17519,0,0,21,80,1,1,4,2,40,3,2,0,2
40,28,0,120,30,4,60,40,60,43,60,40,60,100,4221,8863,1,0,15,60,2,0,5,3,80,5,4,0,4
40,58,50,682,30,10,80,80,60,37,60,80,60,0,13872,24409,0,0,13,60,3,0,38,1,40,37,10,1,8
40,44,0,489,60,23,60,40,60,67,60,40,40,100,2042,25043,4,0,12,60,3,1,17,3,80,3,2,1,2
60,37,50,807,90,6,80,60,60,63,60,20,20,50,2073,23648,4,10,22,80,4,0,7,3,60,3,2,0,2
40,32,50,827,60,1,20,80,60,71,60,20,20,0,2956,15178,1,0,13,60,4,0,1,2,60,1,0,0,0
60,20,100,871,60,6,60,80,40,66,40,20,80,0,2926,19783,1,10,18,60,2,0,1,5,60,1,0,1,0
40,34,50,665,60,6,80,20,40,41,60,40,60,0,4809,12482,1,0,14,60,3,0,16,3,60,16,13,2,10
40,37,0,1040,60,2,40,60,60,100,40,40,80,50,5163,15850,5,0,14,60,4,1,17,2,80,1,0,0,0
40,59,0,1420,90,2,80,60,40,32,40,100,80,100,18844,21922,9,0,21,80,4,1,30,3,60,3,2,2,2
40,50,100,1115,60,1,60,20,40,73,60,100,40,100,18172,9755,3,10,19,60,1,0,28,1,40,8,3,0,7
60,25,50,240,30,5,60,60,60,46,40,40,60,0,5744,26959,1,10,11,60,4,0,6,1,60,6,4,0,3
40,25,50,1280,60,7,20,80,60,64,40,20,80,100,2889,26897,1,0,11,60,3,2,2,2,60,2,2,2,1
40,22,50,534,60,15,60,40,40,59,60,20,80,0,2871,23785,1,0,15,60,3,0,1,5,60,0,0,0,0
40,51,100,1456,60,1,80,20,40,30,40,60,20,0,7484,25796,3,0,20,80,3,0,23,1,40,13,12,12,8
60,34,100,658,60,7,60,20,60,66,20,40,60,0,6074,22887,1,10,24,80,4,0,9,3,60,9,7,0,6
40,54,0,142,90,26,60,80,40,30,80,80,80,0,17328,13871,2,10,12,60,3,0,23,3,60,5,3,4,4
40,24,50,1127,60,18,20,40,60,52,60,20,60,100,2774,13257,0,0,12,60,3,1,6,2,60,5,3,1,2
40,34,50,1031,60,6,80,60,40,45,40,40,40,50,4505,15000,6,0,15,60,3,1,12,3,60,1,0,0,0
40,37,50,1189,30,3,60,60,60,87,60,60,80,0,7428,14506,2,0,12,60,1,0,12,3,60,5,3,1,3
40,34,50,1354,60,5,60,60,40,45,40,60,20,0,11631,5615,2,0,12,60,4,0,14,6,60,11,10,5,8
40,36,100,1467,30,11,40,40,40,92,60,60,80,100,9738,22952,0,0,14,60,3,1,10,6,60,9,7,2,8
40,36,50,922,60,3,40,20,40,39,60,20,80,50,2835,2561,5,0,22,80,1,1,7,2,60,1,0,0,0
40,43,100,394,30,26,40,60,60,92,60,80,80,100,16959,19494,1,10,12,60,4,2,25,3,80,25,12,4,12
40,30,100,1312,60,23,60,20,60,96,20,20,60,50,2613,22310,1,0,25,80,3,3,10,2,40,10,7,0,9
40,33,0,750,30,22,40,60,60,95,60,40,40,100,6146,15480,0,0,13,60,1,1,8,2,80,7,7,0,7
60,56,50,441,60,14,80,40,40,72,60,20,40,100,4963,4510,9,10,18,60,1,3,7,2,60,5,4,4,3
40,51,50,684,60,6,60,20,60,51,60,100,60,0,19537,6462,7,0,13,60,3,0,23,5,60,20,18,15,15
60,31,50,249,30,6,80,40,60,76,20,40,60,100,6172,20739,4,10,18,60,2,0,12,3,40,7,7,7,7
40,26,50,841,60,6,60,60,40,46,40,20,40,100,2368,23300,1,0,19,60,3,0,5,3,40,5,4,4,3
60,58,50,147,60,23,80,80,40,94,60,60,80,100,10312,3465,1,0,12,60,4,1,40,3,40,40,10,15,6
60,19,50,528,30,22,20,80,60,50,60,20,60,0,1675,26820,1,10,19,60,4,0,0,2,40,0,0,0,0
40,22,50,594,60,2,20,60,60,100,60,20,80,100,2523,19299,0,0,14,60,3,1,3,2,60,2,1,2,1
40,49,50,470,60,20,80,60,40,96,60,40,20,100,6567,5549,1,0,14,60,3,0,16,2,40,15,11,5,11
40,43,100,957,60,28,60,40,40,72,80,20,60,0,4739,16090,4,0,12,60,4,0,18,2,60,3,2,1,2
40,50,100,809,30,12,60,60,40,77,60,60,80,0,9208,6645,4,0,11,60,4,0,16,3,60,2,2,2,1
60,31,50,542,30,20,60,40,40,71,20,40,60,100,4559,24788,3,10,11,60,3,1,4,2,60,2,2,2,2
40,41,50,802,30,9,20,60,60,96,60,60,60,50,8189,21196,3,10,13,60,3,1,12,2,60,9,7,0,7
40,26,50,1355,90,25,20,60,40,61,60,20,60,100,2942,8916,1,0,23,80,4,1,8,3,60,8,7,5,7
40,36,50,216,60,6,40,40,60,84,60,40,40,50,4941,2819,6,0,20,80,4,2,7,0,60,3,2,0,1
60,51,100,1150,60,8,80,20,60,53,20,60,80,0,10650,25150,2,0,15,60,4,0,18,2,60,4,2,0,3
40,39,50,1329,30,4,80,80,40,47,40,40,60,100,5902,14590,4,0,14,60,3,1,17,1,80,15,11,5,9
40,25,50,959,30,28,60,20,60,41,40,40,60,100,8639,24835,2,0,18,60,4,0,6,3,60,2,2,2,2
40,30,50,1240,90,9,60,60,60,48,60,40,80,100,6347,13982,0,10,19,60,4,0,12,2,20,11,9,4,7
60,32,50,1033,60,9,60,20,40,41,60,20,20,0,4200,10224,7,0,22,80,1,0,10,2,80,5,4,0,4
40,45,50,1316,60,29,60,60,60,83,60,20,80,0,3452,9752,5,0,13,60,2,0,9,2,40,6,5,0,3
40,38,50,364,60,3,100,80,40,32,60,40,60,0,4317,2302,3,10,20,80,2,0,19,2,60,3,2,2,2
40,30,50,438,60,18,60,20,40,75,60,20,60,0,2632,23910,1,0,14,60,3,0,5,4,40,5,4,0,4
40,32,100,689,30,9,40,80,60,35,20,40,80,50,4668,22812,0,0,17,60,4,3,9,2,80,8,7,0,7
40,30,50,201,60,5,60,80,40,84,60,20,20,50,3204,10415,5,0,14,60,4,1,8,3,60,3,2,2,2
40,30,50,1427,60,2,20,40,60,35,40,20,80,0,2720,11162,0,0,13,60,4,0,6,3,60,5,3,1,2
40,41,100,857,60,10,60,80,60,91,40,80,20,50,17181,12888,4,0,13,60,2,1,21,2,40,7,6,7,7
40,41,50,933,60,9,80,60,60,94,60,20,20,100,2238,6961,2,0,21,80,4,1,7,2,60,5,0,1,4
40,19,50,1181,60,3,20,40,40,79,60,20,40,0,1483,16102,1,0,14,60,4,0,1,3,60,1,0,0,0
40,40,100,1395,60,26,60,40,40,54,60,40,40,50,5605,8504,1,0,11,60,1,1,20,2,60,20,7,2,13
40,35,50,662,30,1,100,60,60,94,60,60,40,100,7295,11439,1,0,13,60,1,2,10,3,60,10,8,0,6
40,53,50,1436,30,6,40,40,60,34,60,40,60,100,2306,16047,2,10,20,80,4,1,13,3,20,7,7,4,5
40,45,50,194,60,9,60,40,60,60,60,40,40,50,2348,10901,8,0,18,60,3,1,20,2,20,17,9,0,15
40,32,100,967,30,8,60,40,40,43,60,60,80,0,8998,15589,1,0,14,60,4,0,9,2,60,9,8,3,7
40,29,0,1496,60,1,20,80,60,41,60,40,60,100,4319,26283,1,0,13,60,1,1,10,1,60,10,7,0,9
40,51,50,1169,60,7,80,40,60,34,40,40,60,100,6132,13983,2,0,17,60,3,0,10,2,60,1,0,0,0
40,58,50,1145,60,9,60,40,40,75,40,20,40,100,3346,11873,4,10,20,80,2,1,9,3,40,1,0,0,0
40,40,50,630,30,4,80,60,60,67,40,60,80,100,10855,8552,7,0,11,60,1,1,15,2,40,12,11,2,11
40,34,100,303,30,2,80,60,40,75,60,20,60,100,2231,11314,6,0,18,60,4,1,6,3,60,4,3,1,2
40,22,50,1256,60,19,20,60,60,80,60,20,80,100,2323,11992,1,0,24,80,1,2,2,6,60,2,2,2,2
40,27,0,691,60,9,60,80,60,57,60,20,40,50,2024,5970,6,0,18,60,4,1,6,1,20,2,2,2,2
40,28,50,440,60,21,60,60,60,42,60,20,80,100,2713,6672,1,0,11,60,3,1,5,2,20,5,2,0,2
40,57,50,334,60,24,40,60,60,83,80,60,80,50,9439,23402,3,10,16,60,2,1,12,2,20,5,3,1,4
40,27,0,1450,60,3,60,60,60,79,40,20,60,50,2566,25326,1,10,15,60,4,1,1,2,40,1,1,0,1
40,50,50,1452,60,11,60,60,40,53,60,100,40,0,19926,17053,3,0,15,60,2,0,21,5,60,5,4,4,4
40,41,50,465,60,14,60,20,60,56,60,20,60,50,2451,4609,4,0,12,60,1,1,13,2,60,9,8,1,8
40,30,50,1339,30,5,60,40,40,41,60,60,80,100,9419,8053,2,0,12,60,3,1,12,2,60,10,9,7,4
40,38,50,702,30,1,80,20,40,59,40,40,80,0,8686,12930,4,0,22,80,3,0,12,2,80,8,3,0,7
40,32,50,120,60,6,100,60,60,43,60,20,60,0,3038,12430,3,0,20,80,1,0,8,2,60,5,4,1,4
40,27,50,1157,60,17,60,60,60,51,60,20,40,100,3058,13364,0,10,16,60,4,1,6,3,40,5,2,1,1
60,19,100,602,30,1,20,60,40,100,20,20,20,0,2325,20989,0,0,21,80,1,0,1,5,80,0,0,0,0
40,36,100,1480,60,3,40,80,60,30,60,20,40,0,2088,15062,4,0,12,60,3,0,13,3,40,8,7,7,2
40,30,0,111,60,9,60,60,60,66,60,40,20,50,3072,11012,1,0,11,60,3,2,12,4,60,12,9,6,10
40,45,50,1268,30,4,40,60,40,30,60,40,20,50,5006,6319,4,10,11,60,1,1,9,3,80,5,4,0,3
40,56,50,713,60,8,60,60,40,67,60,20,20,50,4257,13939,4,10,18,60,3,1,19,3,60,2,2,2,2
40,33,50,134,60,2,60,60,60,90,60,20,80,0,2500,10515,0,0,14,60,1,0,4,2,80,3,1,0,2
60,19,50,303,60,2,60,40,60,47,40,20,80,0,1102,9241,1,0,22,80,3,0,1,3,40,1,0,1,0
40,46,50,526,30,1,40,40,40,92,60,60,20,50,10453,2137,1,0,25,80,3,3,24,2,60,24,13,15,7
40,38,50,1380,60,9,40,60,40,75,60,20,80,0,2288,6319,1,0,12,60,3,0,2,3,60,2,2,2,1
40,31,50,140,60,12,20,60,40,95,60,20,80,100,3929,6984,8,10,23,80,3,1,7,0,60,4,2,0,2
40,34,50,629,60,27,40,80,40,95,60,20,40,0,2311,5711,2,0,15,60,4,0,9,3,60,3,2,1,2
60,41,50,1356,30,20,40,40,40,70,60,20,40,0,3140,21728,1,10,22,80,4,0,4,5,40,4,3,0,2
40,50,50,328,60,1,60,60,60,86,40,20,60,100,3690,3425,2,0,15,60,4,1,5,2,40,3,2,0,2
40,53,50,1084,60,13,40,80,40,57,80,40,20,50,4450,26250,1,0,11,60,3,2,5,3,60,4,2,1,3
40,33,50,931,60,14,60,80,40,72,60,20,40,100,2756,4673,1,0,13,60,4,1,8,5,60,8,7,1,6
40,40,50,989,60,4,20,80,40,46,60,100,60,100,19033,6499,1,0,14,60,2,1,21,2,60,20,8,9,9
40,55,50,692,60,14,80,60,60,61,80,100,40,0,18722,13339,8,0,11,60,4,0,36,3,60,24,15,2,15
40,34,100,1069,60,2,20,80,60,45,40,40,60,100,9547,14074,1,0,17,60,3,0,10,2,40,10,9,1,9
40,51,50,313,60,3,60,80,40,98,60,80,40,0,13734,7192,3,0,18,60,3,0,21,6,60,7,7,1,0
40,52,50,699,60,1,80,60,60,65,40,100,60,100,19999,5678,0,0,14,60,1,1,34,5,60,33,18,11,9
40,27,50,894,60,9,60,80,40,99,60,20,40,0,2279,11781,1,0,16,60,4,0,7,2,40,7,7,0,3
60,35,50,556,60,23,40,40,60,50,40,40,60,100,5916,15497,3,10,13,60,1,0,8,1,60,1,0,0,1
40,43,0,1344,60,7,60,80,60,37,80,20,80,50,2089,5228,4,0,14,60,4,3,7,3,80,5,4,2,2
40,45,0,1195,60,2,40,20,60,65,40,80,80,100,16792,20462,9,0,23,80,4,1,22,1,60,20,8,11,8
40,37,50,290,60,21,60,40,60,65,80,20,20,100,3564,22977,1,10,12,60,1,1,8,3,40,8,7,1,7
40,35,100,138,60,2,60,40,40,37,60,40,40,0,4425,15986,5,0,11,60,4,0,10,5,60,6,2,1,2
40,42,0,926,60,21,40,60,40,36,60,40,60,50,5265,16439,2,0,16,60,2,1,11,5,60,5,3,0,2
40,38,50,1261,60,2,80,80,60,88,60,40,60,100,6553,7259,9,0,14,60,2,0,14,3,60,1,0,0,0
40,38,50,1084,60,29,60,80,60,54,60,40,80,100,6261,4185,3,0,18,60,1,1,9,3,20,7,7,1,7
40,27,100,472,60,1,20,60,60,60,40,40,20,100,4298,9679,5,0,19,60,3,1,6,1,60,2,2,2,0
40,49,0,1002,60,18,80,80,60,92,60,40,80,50,6804,23793,1,10,15,60,1,2,7,0,60,7,7,1,7
40,34,100,878,60,10,80,80,60,43,60,20,60,50,3815,5972,1,10,17,60,4,1,5,4,80,5,3,2,0
40,40,50,905,60,19,40,60,60,99,60,40,80,100,2741,16523,8,10,15,60,3,1,15,2,80,7,2,3,7
60,38,50,1180,60,29,20,40,60,70,60,40,20,100,6673,11354,7,10,19,60,2,0,17,2,60,1,0,0,0
60,29,50,121,30,27,60,40,40,35,60,60,80,100,7639,24525,1,0,22,80,4,3,10,3,40,10,4,1,9
40,22,50,1136,60,5,60,80,60,60,80,20,40,50,2328,12392,1,10,16,60,1,1,4,2,40,4,2,2,2
40,36,100,635,60,18,20,40,40,73,60,20,80,0,2153,7703,1,0,13,60,1,0,8,2,60,8,1,1,7
40,40,0,1151,60,9,100,80,60,63,40,40,80,100,4876,14242,9,0,14,60,4,1,5,5,20,3,2,0,2
40,46,50,644,60,1,80,80,60,97,60,60,20,50,9396,12368,7,0,16,60,3,1,17,3,60,4,2,0,3
60,32,50,1045,30,4,80,80,60,32,20,60,80,100,10400,25812,1,0,11,60,3,0,14,2,40,14,8,9,8
40,30,0,829,60,1,20,60,60,88,40,60,60,0,8474,20925,1,0,22,80,3,0,12,2,60,11,8,5,8
40,27,100,1242,30,20,60,80,40,90,60,40,60,0,9981,12916,1,0,14,60,4,0,7,2,60,7,7,0,7
40,51,50,1469,60,8,80,40,60,81,40,60,40,100,12490,15736,5,0,16,60,4,2,16,5,20,10,9,4,7
60,30,50,1005,60,3,60,80,40,88,60,20,20,0,2657,8556,5,10,11,60,3,0,8,5,60,5,2,0,4
40,41,50,896,30,6,60,80,40,75,60,60,80,0,13591,14674,3,10,18,60,3,0,16,3,60,1,0,0,0
60,30,100,334,30,26,80,60,40,52,40,40,20,0,6696,22967,5,0,15,60,3,0,9,5,40,6,3,0,1
60,29,50,992,60,1,60,60,60,85,60,20,60,0,2058,19757,0,0,14,60,4,0,7,1,40,6,2,1,5
40,45,0,1052,30,6,60,80,40,57,40,60,80,0,8865,16840,6,0,12,60,4,0,23,2,60,19,7,12,8
40,54,50,1147,30,3,60,80,40,52,60,40,20,100,5940,17011,2,0,14,60,4,1,16,4,60,6,2,0,5
40,36,50,1396,60,5,40,80,60,62,60,40,40,0,5914,9945,8,0,16,60,4,0,16,3,80,13,11,3,7
40,33,50,147,60,4,80,60,40,47,40,20,40,100,2622,13248,6,0,21,80,4,0,7,3,60,3,2,1,1
40,37,100,663,60,11,60,40,60,47,60,60,80,50,12185,10056,1,10,14,60,3,3,10,1,60,10,8,0,7
